PRD_SRL_NO,PRD_CD,from_eq,from_process,from_name,to_eq,to_process,to_name,from_end_time,to_start_time,waiting_sec,negative_wait_flag
PRD1000-260213010-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-13 11:38:52.738,2026-02-13 11:39:05.320,12.582,False
PRD1000-260213010-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-13 11:39:22.166,2026-02-13 11:39:44.126,21.96,False
PRD1000-260213010-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-13 11:39:46.369,2026-02-13 11:40:13.048,26.679,False
PRD1000-260225012-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-25 18:11:50.902,2026-02-25 18:12:23.362,32.46,False
PRD1000-260225012-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-25 18:13:47.137,2026-02-25 18:14:00.578,13.441,False
PRD1000-260225012-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-25 18:15:35.747,2026-02-25 18:15:58.226,22.479,False
PRD1000-260225012-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-25 18:16:00.464,2026-02-25 18:16:29.223,28.759,False
PRD1000-260225012-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-02-25 18:23:02.421,2026-02-25 18:23:34.846,32.425,False
PRD1000-260225012-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-02-25 18:27:25.691,2026-02-25 18:27:51.225,25.534,False
PRD1000-260225012-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-02-25 18:29:20.746,2026-02-25 18:29:45.350,24.604,False
PRD1000-260225012-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-25 18:32:57.626,2026-02-25 18:35:39.486,161.86,False
PRD1000-260225012-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-02-25 18:36:14.428,2026-02-25 18:36:35.175,20.747,False
PRD1000-260225013-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-25 19:27:53.280,2026-02-25 19:28:28.106,34.826,False
PRD1000-260225013-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-25 19:29:44.962,2026-02-25 19:29:58.246,13.284,False
PRD1000-260225013-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-25 19:31:24.205,2026-02-25 19:31:49.212,25.007,False
PRD1000-260225013-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-25 19:31:51.341,2026-02-25 19:32:21.906,30.565,False
PRD1000-260225013-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-02-25 19:37:33.126,2026-02-25 19:38:05.818,32.692,False
PRD1000-260225013-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-02-25 19:41:00.147,2026-02-25 19:41:27.607,27.46,False
PRD1000-260225013-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-02-25 19:44:13.881,2026-02-25 19:44:39.649,25.768,False
PRD1000-260225013-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-25 19:47:28.542,2026-02-25 19:48:11.551,43.009,False
PRD1000-260225013-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-02-25 19:48:50.304,2026-02-25 19:49:10.644,20.34,False
PRD1000-260225013-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-25 19:50:52.350,2026-02-25 19:51:13.998,21.648,False
PRD1000-260225013-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-02-25 19:52:55.714,2026-02-25 19:53:34.175,38.461,False
PRD1000-260225013-0001,PRD1000,EQ05,A3,A3 완제품 및 NG 배출부,EQ14,AMR_LD250,AMR_LD250,2026-02-25 19:54:33.733,2026-02-25 19:57:19.844,166.111,False
PRD1000-260225015-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-25 22:16:23.474,2026-02-25 22:17:22.362,58.888,False
PRD1000-260225015-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-25 22:18:42.834,2026-02-25 22:18:55.615,12.781,False
PRD1000-260225015-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-25 22:19:26.538,2026-02-25 22:19:51.043,24.505,False
PRD1000-260225015-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-25 22:19:53.170,2026-02-25 22:20:22.790,29.62,False
PRD1000-260225015-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-02-25 22:28:22.856,2026-02-25 22:29:02.095,39.239,False
PRD1000-260225015-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-02-25 22:35:15.308,2026-02-25 22:35:45.048,29.74,False
PRD1000-260225015-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-02-25 23:01:48.325,2026-02-25 23:02:13.038,24.713,False
PRD1000-260225015-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-25 23:09:12.170,2026-02-25 23:09:54.278,42.108,False
PRD1000-260225015-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-02-25 23:10:29.235,2026-02-25 23:10:49.459,20.224,False
PRD1000-260225015-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-25 23:12:31.389,2026-02-25 23:12:52.596,21.207,False
PRD1000-260225015-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-02-25 23:14:06.105,2026-02-25 23:14:47.856,41.751,False
PRD1000-260225015-0002,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-25 22:17:26.186,2026-02-25 22:20:13.515,167.329,False
PRD1000-260225015-0002,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-25 22:21:33.888,2026-02-25 22:21:46.876,12.988,False
PRD1000-260225015-0002,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-25 22:22:18.832,2026-02-25 22:22:43.226,24.394,False
PRD1000-260225015-0002,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-25 22:22:45.464,2026-02-25 22:23:16.794,31.33,False
PRD1000-260225015-0002,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-02-25 22:33:39.741,2026-02-25 22:34:13.395,33.654,False
PRD1000-260225015-0002,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-02-25 22:36:22.787,2026-02-25 23:01:00.669,1477.882,False
PRD1000-260225015-0002,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-02-25 23:04:38.279,2026-02-25 23:05:16.566,38.287,False
PRD1000-260225019-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-25 22:44:12.153,2026-02-25 23:04:44.797,1232.644,False
PRD1000-260225019-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-25 23:06:02.806,2026-02-25 23:06:15.793,12.987,False
PRD1000-260225019-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-25 23:07:30.754,2026-02-25 23:07:52.832,22.078,False
PRD1000-260225019-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-25 23:07:56.024,2026-02-25 23:08:23.946,27.922,False
PRD1000-260225019-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-02-25 23:14:41.361,2026-02-25 23:15:13.635,32.274,False
PRD1000-260225019-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-02-25 23:16:48.080,2026-02-25 23:17:14.735,26.655,False
PRD1000-260225019-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-02-25 23:19:16.336,2026-02-25 23:19:39.897,23.561,False
PRD1000-260225500-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-02-25 16:56:57.826,2026-02-25 16:57:29.959,32.133,False
PRD1000-260225500-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-02-25 16:58:52.964,2026-02-25 16:59:06.347,13.383,False
PRD1000-260225500-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-02-25 16:59:57.693,2026-02-25 17:00:19.303,21.61,False
PRD1000-260225500-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-02-25 17:00:21.499,2026-02-25 17:00:48.835,27.336,False
PRD1000-260225500-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-02-25 17:07:34.251,2026-02-25 17:08:06.585,32.334,False
PRD1000-260225500-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-02-25 17:10:53.164,2026-02-25 17:11:20.445,27.281,False
PRD1000-260225500-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-02-25 17:13:06.434,2026-02-25 17:13:32.394,25.96,False
PRD1000-260225500-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-25 17:17:14.173,2026-02-25 17:17:56.692,42.519,False
PRD1000-260225500-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-02-25 17:18:46.487,2026-02-25 17:19:06.091,19.604,False
PRD1000-260225500-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-02-25 17:42:43.905,2026-02-25 17:42:54.847,10.942,False
PRD1000-260225500-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-02-25 17:58:59.651,2026-02-25 17:59:35.755,36.104,False
PRD1000-260225500-0001,PRD1000,EQ05,A3,A3 완제품 및 NG 배출부,EQ14,AMR_LD250,AMR_LD250,2026-02-25 18:00:35.843,2026-02-25 18:03:24.672,168.829,False
PRD1000-260226001-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ03,A1,A1 소재 공급,2026-02-26 08:35:15.957,2026-02-26 09:51:27.735,4571.778,False
